;University;Home;Restaurant;Network 3G;Morning;Afternoon;Evening;Weekend;Smartphone NokiaLumia
ABC Transport;0; 0; 0; 0; 1; 0; 0; 0; 0; 
AlloCine;1; 0; 0; 1; 0; 1; 0; 0; 1; 
Appareil photo;0; 1; 0; 1; 0; 0; 1; 0; 1; 
Bing Spoort;1; 0; 0; 0; 0; 0; 0; 0; 0; 
E-mail;1; 0; 0; 0; 0; 1; 1; 0; 0; 
Facebook;1; 1; 0; 0; 0; 1; 1; 0; 0; 
Google;0; 0; 0; 0; 0; 1; 0; 0; 0; 
Meteo;1; 1; 0; 0; 0; 0; 0; 0; 0; 
Musique;0; 0; 0; 0; 0; 1; 0; 1; 0; 
SMS;1; 0; 0; 0; 0; 1; 0; 1; 0; 
SnapChat;1; 0; 0; 1; 0; 1; 0; 0; 1; 
Telephone;0; 0; 1; 0; 0; 1; 1; 1; 0; 
Twitter;1; 0; 0; 0; 0; 1; 0; 0; 0; 
