;University;Train station;Home;Transportation;Home Wifi;Network 3G;Morning;Lunch break;Afternoon;Evening;Night;Weekend
Calendrier;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Dans ton chat;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Documents;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Eurosport;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Facebook;0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 
Gmail;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
Instagram;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
iTranslate;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
JeuxVideo.com;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Musique;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
NBA 2K14;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
SMS;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
SnapChat;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
So Foot;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Telephone;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Tumblr;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Twitter;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
YouTube;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
