;University;Cinema;Home;Transportation;Network 3G;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Appareil photo;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
BBM;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Facebook;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Flappy Bird;0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
Instagram;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Photos;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
SMS;0; 0; 0; 1; 1; 1; 0; 1; 0; 0; 1; 0; 
SnapChat;0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 
Telephone;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Twitter;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
WhatsApp;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 
