;University;Home;Transportation;Home Wifi;Network 3G;Smartphone Samsung;Tablet
Calculatrice;1; 0; 0; 0; 0; 0; 0; 
Candy Crush;0; 0; 1; 0; 1; 1; 0; 
E-mail;0; 1; 0; 1; 0; 1; 0; 
Facebook;0; 1; 0; 1; 0; 1; 0; 
Firefox;0; 1; 0; 1; 0; 1; 0; 
Flappy Bird;0; 1; 0; 0; 0; 1; 0; 
Flipboard;0; 1; 0; 1; 0; 1; 0; 
Gestion de taches;1; 1; 1; 0; 0; 1; 0; 
Gmail;0; 1; 0; 1; 0; 1; 0; 
Google Now;0; 1; 0; 1; 0; 1; 0; 
Google Play Store;1; 1; 0; 0; 0; 1; 0; 
HFR4droid;0; 1; 0; 1; 0; 1; 0; 
JeuxVideo.com;0; 1; 0; 1; 0; 1; 0; 
Maps;0; 1; 0; 1; 0; 1; 0; 
Meteo;0; 1; 0; 0; 0; 1; 0; 
News Republic;0; 1; 0; 1; 0; 1; 0; 
Parametres;1; 0; 0; 0; 0; 0; 1; 
Safari;0; 1; 0; 0; 0; 0; 1; 
Shazam;0; 1; 0; 1; 0; 1; 0; 
SMS;0; 1; 0; 0; 0; 1; 0; 
Telephone;0; 1; 0; 0; 0; 1; 0; 
WeChat;0; 1; 0; 1; 0; 1; 0; 
YouTube;0; 1; 0; 1; 0; 1; 0; 
