;University;Home;Transportation;Library;Home Wifi;Network 3G;Morning;Afternoon;Weekend
Adobe Reader;1; 0; 0; 1; 0; 0; 0; 0; 0; 
Alarme;0; 0; 0; 0; 0; 0; 0; 0; 1; 
Appareil photo;0; 0; 0; 0; 0; 0; 1; 0; 0; 
Astro;0; 0; 1; 0; 0; 0; 0; 0; 0; 
Google;0; 1; 0; 1; 1; 0; 0; 1; 0; 
E-mail;0; 0; 1; 1; 0; 0; 0; 0; 0; 
Flappy Bird;0; 1; 0; 0; 0; 0; 0; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 1; 0; 1; 0; 
Instagram;1; 1; 0; 0; 0; 0; 0; 0; 0; 
Maps;1; 0; 0; 0; 0; 0; 0; 0; 0; 
Parametres;0; 0; 1; 0; 0; 0; 0; 0; 0; 
Subway Surfer;1; 0; 1; 0; 0; 0; 0; 0; 0; 
Twitter;1; 0; 0; 0; 0; 1; 0; 0; 0; 
Viber;0; 0; 0; 0; 0; 1; 0; 0; 0; 
YouTube;1; 0; 0; 1; 0; 1; 0; 0; 0; 
