;University;Home;Home Wifi;Network 3G;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G
Alarme;0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
Appareil photo;1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
E-mail;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Gmail;1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
Google Play Store;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Instagram;0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
Lecteur video;1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 
Mes fichiers;1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Mise a jour logicielle;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Notes;1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
SMS;1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 
Telephone;1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Tumblr;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
YouTube;0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
