;University;Restaurant;Home;Transportation;Home Wifi;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Google;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Drive;0; 0; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 
Facebook;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
Flipboard;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Gmail;0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 1; 
Google Play Store;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
Instagram;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
Jelly Splash;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Keep;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
NBA GM;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
SMS;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
SnapChat;0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 
WeChat;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 
