;University;Train station;Transportation;Home Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening
Alarme;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
Angry Birds;1; 0; 1; 0; 0; 1; 0; 0; 1; 0; 
Drive;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
E-mail;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Facebook;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Gestion de taches;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Gmail;0; 0; 0; 0; 0; 1; 0; 1; 1; 0; 
Google;1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 
Google Play Store;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Mise a jour logicielle;0; 0; 0; 1; 0; 0; 1; 1; 1; 0; 
Radio;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
SMS;0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 
Telephone;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
