;University;Train station;Restaurant;Street;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung;Memory 32G
20minute-android;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
9GAG;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Alarme;1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
Echec;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
E-mail;0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
Facebook;0; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 
Flappy Bird;0; 0; 1; 1; 0; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
Google;0; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 0; 0; 
Google Play Store;0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 
Mes fichiers;0; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 0; 0; 
Meteo;1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
Musique;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Ratp;1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 
Shazam;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 0; 
SMS;0; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
SnapChat;0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
Sudoku;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
Telephone;1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 0; 0; 
Tinder;0; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 0; 0; 
YouTube;1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 
