;University;Home;Transportation;Home Wifi;Early Morning;Coffe break;Lunch break;Evening;Weekend;Memory 16G;Street;Computer
Alarme;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Candy Crush;1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Flappy Bird;1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 
Google Play Store;0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 
Maps;0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 
Navigation;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
Parametres;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
RunKeeper;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
SMS;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
