;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Memory 16G;Street;Computer
Alarme;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
Appareil photo;1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 
Candy Crush;0; 0; 0; 1; 1; 1; 1; 0; 0; 1; 0; 0; 0; 1; 1; 
Google;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
Facebook;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
Flappy Bird;0; 0; 0; 1; 1; 1; 1; 0; 0; 1; 0; 0; 0; 1; 1; 
Gmail;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 0; 1; 1; 
Google Play Store;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 
livescore;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 1; 1; 
Maps;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 
Navigation;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
Parametres;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0; 0; 0; 1; 1; 
RunKeeper;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
SMS;0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
