;University;Home;Home Wifi;Network 3G;Early Morning;Morning;Afternoon;Evening;Weekend
Alarme;0; 1; 0; 0; 1; 0; 0; 0; 0; 
AlloCine;1; 0; 1; 0; 0; 0; 1; 0; 0; 
Appareil photo;0; 1; 0; 0; 0; 0; 0; 1; 0; 
Calendrier;0; 1; 0; 0; 0; 0; 0; 0; 0; 
Dans ton chat;0; 0; 1; 0; 0; 0; 0; 0; 0; 
Documents;1; 0; 0; 0; 0; 0; 0; 0; 0; 
Eurosport;0; 0; 0; 0; 0; 0; 1; 0; 0; 
Facebook;1; 0; 0; 1; 0; 0; 0; 0; 0; 
Gmail;1; 0; 0; 0; 0; 0; 0; 1; 0; 
Google;1; 0; 0; 1; 0; 0; 0; 0; 1; 
iTranslate;0; 0; 0; 1; 0; 0; 0; 0; 0; 
Ratp;0; 1; 0; 0; 0; 1; 0; 0; 0; 
SFR mon compte;1; 0; 0; 0; 0; 0; 1; 0; 0; 
SMS;0; 0; 0; 0; 0; 0; 1; 1; 0; 
SnapChat;0; 0; 0; 0; 0; 1; 0; 0; 0; 
SNCF Direct;0; 1; 0; 1; 0; 1; 0; 0; 0; 
Tumblr;0; 0; 0; 0; 0; 0; 0; 0; 1; 
Twitter;0; 0; 1; 0; 0; 0; 0; 0; 0; 
