;University;Home;Transportation;Network 3G;Morning;Afternoon;Evening;Weekend
Alarme;0; 0; 0; 0; 1; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 1; 0; 0; 0; 
Candy Crush;0; 0; 0; 0; 0; 1; 0; 0; 
E-mail;1; 0; 1; 0; 0; 0; 1; 0; 
Facebook;1; 0; 1; 0; 0; 0; 1; 0; 
Firefox;0; 0; 0; 1; 0; 0; 0; 0; 
Flappy Bird;1; 0; 1; 0; 0; 0; 0; 0; 
Flipboard;1; 0; 1; 0; 0; 0; 0; 0; 
Gestion de taches;1; 0; 1; 0; 0; 0; 0; 1; 
Gmail;1; 0; 1; 0; 0; 0; 1; 0; 
Google Now;0; 0; 0; 1; 0; 0; 0; 0; 
Google Play Store;0; 0; 0; 0; 0; 0; 1; 0; 
HFR4droid;0; 0; 0; 0; 0; 0; 1; 0; 
JeuxVideo.com;0; 0; 0; 0; 0; 0; 1; 0; 
Maps;0; 0; 0; 0; 0; 1; 0; 0; 
Meteo;0; 1; 0; 0; 0; 0; 0; 0; 
News Republic;1; 0; 1; 0; 0; 0; 0; 0; 
Parametres;0; 0; 0; 0; 0; 1; 1; 0; 
SMS;1; 0; 0; 0; 0; 0; 0; 0; 
WeChat;0; 0; 0; 0; 0; 0; 1; 0; 
