;University;Home;Home Wifi;Network 3G;Early Morning;Morning;Lunch break;Afternoon;Evening;Weekend
Alarme;0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Calculatrice;1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
Facebook;1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
Facebook Messenger;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
Google;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
Meteo;0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 
Mise a jour logicielle;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
Telephone;0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
Twitter;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
