;University;Restaurant;Home;Home Wifi;Network 3G;Coffe break;Evening;Night;Smartphone Sony;Computer
Agenda;0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 
Alarme;0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
Appareil photo;0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
Calculatrice;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Drive;0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 
E-mail;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Facebook;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
Freebox Mobile;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 
Gmail;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 
Google;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 
Google Play Store;0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
Mes fichiers;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Mise a jour logicielle;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
SMS;0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 
Telephone;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
Viber;0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
