;University;Train station;Home;Transportation;Home Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
Agenda;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
Alarme;0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
AlloCine;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Drive;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
E-mail;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Facebook;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Gmail;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Mes fichiers;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Musique;0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
Notes;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Photoshop;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Skype;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
SMS;1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 0; 
Telephone;1; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 1; 
Word;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
