;Train station;Cinema;Restaurant;Transportation;Network 3G;Public Wifi;Morning;Weekend
AlloCine;0; 1; 0; 0; 0; 1; 0; 0; 
AppyGeek;1; 0; 0; 0; 1; 0; 0; 0; 
Google;0; 0; 1; 1; 0; 0; 0; 0; 
Eurosport;1; 0; 0; 1; 0; 0; 0; 0; 
Facebook;0; 0; 0; 0; 0; 1; 0; 0; 
IMDb;0; 1; 0; 0; 0; 1; 0; 0; 
Instagram;0; 0; 0; 0; 0; 1; 0; 0; 
LCL Mobile;0; 1; 1; 0; 0; 0; 0; 0; 
Mes fichiers;0; 1; 0; 0; 0; 0; 0; 0; 
Parametres;1; 0; 0; 0; 0; 0; 0; 0; 
Runtastic;0; 0; 0; 0; 0; 0; 1; 1; 
SMS;0; 0; 0; 1; 0; 0; 0; 0; 
Telephone;0; 0; 0; 1; 0; 0; 0; 0; 
Twitter;0; 1; 1; 0; 0; 1; 0; 0; 
