;University;Home;Home Wifi;Network 3G;Evening;Weekend;Memory 16G
Actualites;0; 0; 0; 0; 0; 0; 1; 
AlloCine;0; 0; 0; 0; 0; 0; 1; 
Appareil photo;1; 0; 0; 0; 0; 0; 1; 
Calendrier;0; 0; 0; 0; 1; 0; 1; 
Google;0; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 1; 1; 0; 0; 1; 
Flappy Bird;0; 0; 0; 0; 0; 0; 1; 
Freebox Mobile;0; 0; 0; 0; 0; 1; 1; 
Gmail;0; 0; 1; 1; 0; 0; 1; 
Google Play Store;0; 1; 0; 0; 0; 0; 1; 
Instagram;0; 1; 1; 1; 0; 0; 1; 
Mes fichiers;0; 0; 0; 0; 0; 0; 1; 
Meteo;0; 0; 0; 0; 0; 0; 1; 
Notes;0; 0; 0; 0; 0; 0; 1; 
Parametres;0; 0; 0; 0; 0; 0; 1; 
Ratp;0; 1; 0; 0; 0; 0; 1; 
SMS;0; 0; 0; 0; 0; 0; 1; 
SnapChat;1; 0; 0; 1; 0; 0; 1; 
WeChat;0; 0; 0; 0; 0; 0; 1; 
YouTube;0; 1; 1; 0; 0; 0; 1; 
