;University;Train station;Cinema;Restaurant;Home;Transportation;Library;Home Wifi;Univ Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Smartphone Iphone
Agenda;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Alarme;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
AlloCine;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
Angry Birds;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Appareil photo;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
Calculatrice;1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
E-mail;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 0; 
Facebook;1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 0; 
Gestion de taches;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Leboncoin;0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Lecteur video;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Maps;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 1; 0; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Mise a jour logicielle;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
netBeans;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 0; 
nike;0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
pap.fr;0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
pgAdmin III;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 0; 
Skype;1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 
SMS;1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 
Telephone;1; 1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 0; 
World;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 
YouTube;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 
