;University;Train station;Home;Transportation;Home Wifi;Network 3G;Public Wifi;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung
Appareil photo;0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
Google;1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Drive;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
E-mail;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Facebook;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 0; 
Flipboard;0; 0; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 0; 0; 
Gmail;0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 
Instagram;1; 0; 1; 1; 1; 0; 0; 0; 1; 1; 1; 0; 0; 0; 
Jelly Splash;1; 0; 1; 1; 0; 0; 0; 0; 1; 1; 1; 0; 1; 0; 
Keep;1; 0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
NBA GM;1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 
Parametres;0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 
SMS;1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 0; 1; 0; 
SnapChat;1; 0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 
WeChat;0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
YouTube;1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 
