;University;Train station;Morning;Coffe break;Lunch break;Evening;Night;Weekend
Agenda;0; 0; 0; 1; 1; 0; 0; 0; 
Alarme;0; 0; 1; 1; 0; 0; 1; 1; 
Appareil photo;0; 0; 0; 1; 0; 0; 0; 0; 
Calculatrice;0; 0; 0; 1; 0; 0; 0; 0; 
Drive;1; 0; 0; 1; 0; 1; 0; 1; 
E-mail;0; 0; 0; 1; 0; 1; 0; 1; 
Facebook;0; 0; 0; 0; 0; 1; 0; 1; 
Freebox Mobile;0; 0; 0; 1; 0; 0; 1; 1; 
Gmail;0; 0; 0; 1; 0; 1; 0; 0; 
Google;0; 1; 0; 1; 0; 1; 0; 1; 
Google Play Store;0; 0; 0; 1; 0; 1; 0; 1; 
Maps;0; 0; 0; 0; 0; 0; 0; 1; 
Mes fichiers;0; 0; 0; 1; 0; 1; 0; 1; 
Mise a jour logicielle;0; 0; 0; 1; 0; 1; 0; 1; 
Skype;0; 0; 0; 0; 0; 1; 0; 0; 
Telephone;0; 0; 0; 1; 0; 1; 0; 1; 
Viber;0; 0; 0; 0; 0; 1; 0; 0; 
World;0; 0; 0; 0; 0; 1; 0; 0; 
YouTube;0; 0; 0; 0; 0; 1; 0; 0; 
