;University;Train station;Home;Transportation;Home Wifi;Network 3G;Morning;Lunch break;Afternoon
Alarme;0; 0; 0; 0; 1; 0; 0; 0; 0; 
Angry Birds;0; 1; 0; 0; 0; 1; 0; 0; 0; 
Drive;0; 0; 0; 1; 0; 1; 0; 0; 0; 
E-mail;0; 0; 0; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 1; 0; 0; 0; 
Gestion de taches;1; 0; 0; 0; 0; 0; 0; 0; 0; 
Gmail;1; 0; 0; 0; 0; 1; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 1; 0; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 1; 0; 1; 0; 
Mise a jour logicielle;0; 0; 0; 0; 0; 0; 1; 0; 0; 
Radio;0; 0; 0; 1; 0; 0; 0; 0; 0; 
SMS;1; 0; 1; 0; 0; 0; 0; 0; 0; 
Telephone;0; 1; 1; 0; 0; 0; 0; 0; 0; 
