;University;Home;Transportation;Home Wifi;Univ Wifi;Morning;Lunch break;Afternoon;Evening;Weekend
Agenda;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Google;0; 1; 0; 1; 0; 0; 0; 1; 1; 0; 
E-mail;0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 
Facebook;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
Gmail;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Lecteur video;1; 1; 1; 0; 0; 1; 1; 0; 1; 0; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Mise a jour logicielle;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Notes;0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 
Parametres;0; 0; 0; 0; 0; 1; 0; 1; 1; 0; 
SMS;0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 
YouTube;1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
