;University;Train station;Restaurant;Home;Transportation;Street;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung;Memory 64G
4 images 1 mot;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
Alarme;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
AlloCine;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
Appareil photo;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Earth;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
Facebook;1; 1; 0; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
Flappy Bird;1; 1; 0; 1; 1; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 0; 0; 
Gmail;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 0; 0; 
Google Play Store;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Instagram;1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 
Lecteur video;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
LINE;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Maps;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Mes fichiers;0; 1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 
Meteo;1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 
Mise a jour logicielle;0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Musique;0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 
Navigation;0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 
Parametres;1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 
Photos;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 0; 0; 
Ratp;0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Shazam;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
SMS;1; 1; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 
SnapChat;1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Telephone;1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 
Translate;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 
Twitter;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
WeChat;1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 0; 0; 
WhatsApp;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
